title,location,desc,price,bath,bed,toilet,area
2 bedroom flat / apartment for rent,"Glover Lsdpc Estate, Adekunle, Yaba, Lagos",A lovely luxury bigger 2br flat @ adekunle by third mainland yaba lagos.good road network constant light secure gated house with security.furnished with pop fitting kitchen cabinets / seren environment all rooms ensuit with visitors toilet.30min proximity drive to vi ikoyi marina / cms / apapa walf / costaininterested clientcall 08029510501 / 08184100140....,1200000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
3 bedroom flat / apartment for rent,"Akoka, Yaba, Lagos","Decent and lovely 3bed ground floor, with master bedroom, 2t2b, water heater and car park, prepaid meter @ akoka yaba lagos...going for 1m per annum.akoka yabahurry up .....come ...",1000000,2 Bathrooms,3 Bedrooms,2 Toilets,yaba
Self contained (single rooms) for rent,"Off Ikorodu Road, Jibowu Yaba Lagos, Jibowu, Yaba, Lagos",It's a new buildingparking spacebalconytiled fl...,450000,,,,yaba
1 bedroom mini flat for rent,"Bono Way, Yaba, Lagos",A lovely exclusive mini flat @ adekunle by alagomeji yaba lagos.good road network constant light secure gated house with security.furnished with pop fitting kitchen cabinets cctv camera round the compound.the room is ensuit with visitors toiletseren environment 2 car park for tenant.proximity to ozone cinema / vi / ikoyi marina / cms / apapa walf / orile igamu.interested clientcall 08029510501 / 08184100140...,1200000,,,2 Toilets,yaba
Office space for rent,"Herbert Macaulay Way, Yaba, Lagos","Lovely 140sqm open plan corporate office space. on an entire floor.with 5 toiletson herbert macaulay way, yaba, lagos.annual rent: 2.5m08038592381, 08020330657.tos property servi...",2500000,,,5 Toilets,yaba
2 bedroom flat / apartment for rent,"Alagomeji, Yaba, Lagos","Newly built all rooms en-suite 2 bedroom flat with guest toilet, situated at alagomeji yaba.rent: 1.8million per an...",1800000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Alagomeji, Yaba, Lagos",Newly built spacious pop finished mini flat with 2 toilet located at alagomeji yaba.rent: 1.2million per an...,1200000,,,2 Toilets,yaba
Self contained (single rooms) for rent,"Yabatech, Jibowu, Yaba, Lagos",A lovely bigger roomself con @ jibown by yabatech lagos. good road network constant light secure gated house. furnished with pop fitting kitchen cabinets. proximity to vi ikoyi marina cms surulere ikeja. interested clientcall 08184100140 _ 08029510501...,400000,,,,yaba
3 bedroom flat / apartment for rent,"Alagomeji, Yaba, Lagos","A lovely and nice good 3 bedroom flat in alagomeji yaba with all around tiles,all room ensuit,visitors toilet,water heater,well fitted pop fittings,well fitted wardrobes in each rooms,well fitted kitchen cabinet,spacious kitchen,car park,balcony,running borehole water,three phase prepaid metre,gated compound with security man,serene environment and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 081694562...",2500000,4 Bathrooms,3 Bedrooms,3 Toilets,yaba
Office space for rent,"Herbert Macaulay Way, Yaba, Lagos","Lovely 167sqm open plan office space for rent along herbert macaulay way, yaba, lagos.occupying an entire first floor with a private staircase.rent: 4 million per annum08038592381, 08020330657.tos property servic...",4000000,,,,yaba
2 bedroom flat / apartment for rent,"Alagomeji, Yaba, Lagos","Check out this home that just hit the market. newly builtbreathtaking city view from all rooms at the heart of alagomeji, yaba.imagine yourself in a very big living room and king's sized bedrooms, let me call it a ""stadium-sized apartment"" with all rooms en-suite, fitted with wardrobes, water heater, pop, screeded walls, car park, personal balconies, personal prepaid meter, a gated compound in a serene environment.just two minutes drive from herbert macaulay way, high proximity to the island and any other part of lagos.with soaring ceilings, this exquisite two bedroom apartment has everything that feeds your taste buds.for more enquiries, contact king's palacio properties: 09025420745 (call and whatsa...",1500000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Jibowu, Yaba, Lagos","A lovely and nice newly built mini flat in jibowu yaba with a master bedroom,all round tiles,well fitted pop fittings,kitchen wardrobes,spacious room and spacious parlour,running borehole water,prepaid metre,gated compound with security man and easy road network to any part of lagos nigeria. for further enquiries and inspection please contact toss reality investment limited on 08169456...",700000,,,2 Toilets,yaba
2 bedroom flat / apartment for rent,"Off Muritala Muhammad Road, Ebute Metta East, Yaba, Lagos","Now letting at ebuta metta, yabaexecutive newly built 2 bedroom flat located off muritala muhammad road, ebute metta , lagosfeatures: easy access in and out, tarred street, fence and clean compound, pop finishing, all rooms ensuits, water heater, car park, secured environment etc..price: 2bedroom: ₦1.4m/per an...",1400000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
1 bedroom mini flat for rent,"Yaba, Lagos","Standard newly built miniflat for rent in yaba, lagos.rent: 600k08038592381, 08020330657.tos property servi...",600000,,,,yaba
Office space for rent,"Off Herbert Macaulay Way, Yaba, Lagos","Its a 3 bedrooms terrace duplex with a room bq, located off herbert macauley way yaba, property tiled round pop ceiling all rooms ensuit with a guest toilet, located in a serviced compound with uniform security for office use only....",3500000,3 Bathrooms,,4 Toilets,yaba
3 bedroom flat / apartment for rent,"Yaba, Lagos","Just out for let now3bedroom duplex with a room bq in a mini estate at connal road, yaba. rent: n3.5m per annum, agency: n350k, legal: n350k, refundable caution:n350k, service charge: n675k per annum excluding powerpictures and video is available for serious cli...",3500000,,3 Bedrooms,,yaba
Commercial property for rent,"Akoka, Yaba, Lagos","A big space currently used as a super market, suitable for any kind for office and commercial activity, situated of saint finbars road, akoka yaba.rent: 3million per an...",3000000,,,,yaba
2 bedroom flat / apartment for rent,"Akoka, Yaba, Lagos","Decent all rooms en-suite 2 bedroom flat , pop finished, fitted with water heater, kitchen cabinet, wardrobe, prepaid meter , well gated, has car park space and secured, located at akoka yaba.rent: 1.5million per an...",1500000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
2 bedroom flat / apartment for rent,"Glover, By Lsdpc Estate, Adekunle, Yaba, Lagos","A lovely bigger 2br flat @ adekunle by lsdpc estate yaba lagos.good road network constant light secure gated house with security.all rooms ensuit with wardrobe.furnished with pop fitting kitchen cabinets.just 4 tenant in the compoundproximity to vi cms ikoyi marina apapa walf, orile igamu.interested clientcall 08184100140 _ 08029510501...",1200000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
3 bedroom flat / apartment for rent,"Off Alara Street, Alagomeji, Yaba, Lagos","A tastefully finished executive newly renovated ensuites modern 3bedroom flat @ alagomeji , yaba, lagos, in a block of flats, up and down flats are available, with a fitted wardrobes, kitchen cabinets and cupboard, pop ceiling, well tiled floors and ventilations, prepaid metre, borehole water , clean and neat compound, easy access road to island via 3rd mainland bridge , situated in a calm and conducive environment with stable electricity as well as adequate security, fenced round with gate and parking space.rent 2million per ann...",2000000,3 Bathrooms,3 Bedrooms,4 Toilets,yaba
Office space for rent,"Alagomeji, Yaba, Lagos","Demarcated open plan office space on the entire groundfloor for office/commercial use.location: alagomeji, yaba ,lagos.annual rent: 3mself-serviced08038592381, 08020330657.tos property servi...",3000000,,,3 Toilets,yaba
1 bedroom mini flat for rent,"Conal Road Off Herbert Macaulay Way, Yaba, Lagos","Very decent luxury mini flat in the best location in yaba with serenity and security, with many present of estate in an estate setting, with enough parking space, fenced round with gate, easy access and proximity advantage, secured with a...",700000,,,,yaba
2 bedroom flat / apartment for rent,"Yaba, Lagos","Newly built lovely 2 bedroom flat with wardrobes in all rooms, car park in the compound, personal prepaid meter etcrent: 1myaba ,lagos.08038592381, 08020330657.tos property servic...",1000000,2 Bathrooms,2 Bedrooms,2 Toilets,yaba
2 bedroom flat / apartment for rent,"Yaba, Lagos","Newly built lovely & spacious 2 bedroom all rooms ensuite flat + 2 balconies, spacious kitchen with kitchen cabinets, car park in the compound, prepaid meter etclocation: yaba, lagos.rent: 1.3m08038592381, 08020330657.tos property servic...",1300000,2 Bathrooms,2 Bedrooms,3 Toilets,yaba
